2014-08-14 15:21:29

------------

600 samples in ../split_library_log/Costello_body_split_library_log.txt
600 samples in ../otu_table_stats/Costello_body_otu_table_stats.txt

------------
sample	splitLibLog	otuTableStats	percent
F33Tong.140358	2275.0	2143.0	0.941978021978
F23Tong.140417	2284.0	2144.0	0.938704028021
M42Fotl.140742	2302.0	2224.0	0.966116420504
F32Nstr.140767	2335.0	2200.0	0.942184154176
F13Tong.140677	2340.0	2180.0	0.931623931624
F32Nose.140543	2393.0	2288.0	0.956122022566
F32Frhd.140444	2424.0	2299.0	0.948432343234
F31Labi.140819	2474.0	2331.0	0.94219886823
M21Plml.140352	2489.0	2215.0	0.889915628767
F22Tong.140837	2497.0	2141.0	0.857428914698
M21Tong.140323	2565.0	2240.0	0.873294346979
M42Mout.140653	2569.0	2173.0	0.845854418062
M14Tong.140420	2574.0	2411.0	0.936674436674
M41Ewxl.140482	2647.0	2398.0	0.905931242917
F32Indr.140459	2664.0	2535.0	0.951576576577
F22Mout.140788	2680.0	2367.0	0.883208955224
M41Ewxr.140794	2864.0	2608.0	0.91061452514
M21Fotl.140499	2919.0	2445.0	0.837615621788
M22Nose.140594	2969.0	2791.0	0.940047153924
M34Tong.140540	2974.0	2775.0	0.933086751849
M22Mout.140541	3053.0	2822.0	0.924336717982
M21Pinr.140516	3110.0	2935.0	0.943729903537
M21Mout.140501	5803.0	5110.0	0.880579010856
------------
Mean =  0.927598709189 percent of seqs made it into OTU table
SD =  0.0455966048025
