2014-08-14 15:22:00
studyName	sampleName	splitTotal	otuTableTotal	percentAssigned
Bokulich_NICU.txt	NICU.86.1129727	25725	14932	0.580447035957
Bokulich_NICU.txt	NICU.32.1129769	26536	15137	0.570432619837
Bokulich_NICU.txt	NICU.125.1129788	26575	14220	0.535089369708
Bokulich_NICU.txt	NICU.119.1129816	27712	15575	0.562030889145
Bokulich_NICU.txt	NICU.10.1129833	28526	15172	0.53186566641
Bokulich_NICU.txt	NICU.144.1129855	28538	16389	0.574286915691
Bokulich_NICU.txt	NICU.45.1129749	28574	16105	0.563624273815
Bokulich_NICU.txt	NICU.69.1129735	30048	19639	0.653587593184
Bokulich_NICU.txt	NICU.63.1129853	30094	16754	0.55672227022
Bokulich_NICU.txt	NICU.142.1129807	30427	17791	0.584710947514
Bokulich_NICU.txt	NICU.71.1129825	30592	17140	0.560277196653
Bokulich_NICU.txt	NICU.14.1129737	31654	18540	0.585707967397
Bokulich_NICU.txt	NICU.53.1129766	31892	18570	0.582277687194
Bokulich_NICU.txt	NICU.60.1129772	32143	17931	0.557850853996
Bowers_Storm_Peak.txt	4.3.SN.139819	314	61	0.194267515924
Bowers_Storm_Peak.txt	4.6.CD.N.139818	323	286	0.885448916409
Bowers_Storm_Peak.txt	3.23.CL.N.139821	331	296	0.894259818731
Bowers_Storm_Peak.txt	4.4.CL.N.139823	351	319	0.908831908832
Bowers_Storm_Peak.txt	4.3.CD.D.139824	375	350	0.933333333333
Bowers_Storm_Peak.txt	3.24.CL.D.139816	378	341	0.902116402116
Bowers_Storm_Peak.txt	4.5.CD.D.139825	382	352	0.921465968586
Bowers_Storm_Peak.txt	4.1.CD.N.139817	403	374	0.928039702233
Bowers_Storm_Peak.txt	4.2.CD.N.139822	407	364	0.894348894349
Bowers_Storm_Peak.txt	4.3.CL.N.139815	648	604	0.932098765432
Bowers_Storm_Peak.txt	4.7.SN.139820	874	680	0.778032036613
Claesson_elderly_gut_study_486.txt	EM095.441717	2757	2568	0.931447225245
Claesson_elderly_gut_study_486.txt	EM037.441737	7293	6764	0.927464692171
Claesson_elderly_gut_study_486.txt	EM168.441668	7659	7127	0.930539234887
Claesson_elderly_gut_study_486.txt	EMC02.441750	8448	7934	0.93915719697
Claesson_elderly_gut_study_486.txt	EM170.441651	8725	8175	0.936962750716
Claesson_elderly_gut_study_486.txt	EM135.441660	8747	8167	0.933691551389
Claesson_elderly_gut_study_486.txt	EM166.441748	8805	8240	0.935831913685
Claesson_elderly_gut_study_486.txt	EM129.441689	8936	7833	0.876566696509
Claesson_elderly_gut_study_486.txt	EM180.441692	9435	8660	0.917859035506
Claesson_elderly_gut_study_486.txt	EM167.441702	9950	8576	0.861909547739
Claesson_elderly_gut_study_486.txt	EM132.441696	10057	9720	0.966491001293
Claesson_elderly_gut_study_486.txt	EM089.441742	10169	8950	0.880125872751
Claesson_elderly_gut_study_486.txt	EM173.441754	10325	9636	0.933268765133
Claesson_elderly_gut_study_486.txt	EM069.441700	10339	8978	0.868362510881
Claesson_elderly_gut_study_486.txt	EM077.441646	10475	10025	0.957040572792
Claesson_elderly_gut_study_486.txt	EM159.441719	10599	9905	0.934522124729
Claesson_elderly_gut_study_486.txt	EM147.441617	10917	10506	0.962352294586
Claesson_elderly_gut_study_486.txt	EM156.441613	10963	10567	0.96387850041
Claesson_elderly_gut_study_486.txt	EM043.441739	11158	10443	0.935920415845
Claesson_elderly_gut_study_486.txt	EM099.441708	11193	10563	0.943714821764
Claesson_elderly_gut_study_486.txt	EM169.441653	11270	10474	0.929370008873
Claesson_elderly_gut_study_486.txt	EM049.441600	11349	10722	0.94475284166
Claesson_elderly_gut_study_486.txt	EM050.441672	11367	10808	0.950822556523
Claesson_elderly_gut_study_486.txt	EM101.441623	11417	10491	0.91889287904
Claesson_elderly_gut_study_486.txt	EMC03.441713	11418	10311	0.903047819233
Claesson_elderly_gut_study_486.txt	EM165.441597	11463	10794	0.941638314577
Claesson_elderly_gut_study_486.txt	EM115.441641	11638	11243	0.966059460388
Claesson_elderly_gut_study_486.txt	EM138.441753	11769	11312	0.961169173252
Claesson_elderly_gut_study_486.txt	EM126.441679	11858	11397	0.961123292292
Claesson_elderly_gut_study_486.txt	EMC08.441752	11960	10590	0.885451505017
Claesson_elderly_gut_study_486.txt	EM130.441701	11969	10825	0.904419751023
Claesson_elderly_gut_study_486.txt	EM117.441609	12050	11610	0.963485477178
Claesson_elderly_gut_study_486.txt	EM151.441595	12085	11170	0.924286305337
Claesson_elderly_gut_study_486.txt	EM047.441722	12121	11739	0.968484448478
Claesson_elderly_gut_study_486.txt	EM146.441718	12121	11105	0.916178533124
Claesson_elderly_gut_study_486.txt	EM096.441706	12162	10749	0.883818450913
Claesson_elderly_gut_study_486.txt	EM113.441619	12268	11979	0.976442777959
Claesson_elderly_gut_study_486.txt	EM106.441745	12348	10426	0.844347262715
Claesson_elderly_gut_study_486.txt	EM075.441644	12367	11806	0.954637341312
Claesson_elderly_gut_study_486.txt	EM183.441654	12400	11610	0.936290322581
Claesson_elderly_gut_study_486.txt	EMC06.441610	12467	11640	0.933664875271
Claesson_elderly_gut_study_486.txt	EM152.441730	12550	12024	0.958087649402
Claesson_elderly_gut_study_486.txt	EM118.441693	12631	11988	0.949093500119
Claesson_elderly_gut_study_486.txt	EM105.441629	12647	12398	0.980311536333
Claesson_elderly_gut_study_486.txt	EMC01.441661	12770	11779	0.92239624119
Claesson_elderly_gut_study_486.txt	EM137.441680	12796	12148	0.949359174742
Claesson_elderly_gut_study_486.txt	EM109.441669	12950	11578	0.894054054054
Claesson_elderly_gut_study_486.txt	EM072.T3.441632	13050	12161	0.931877394636
Claesson_elderly_gut_study_486.txt	EM107.441620	13053	11658	0.893128016548
Claesson_elderly_gut_study_486.txt	EM074.441596	13240	12538	0.946978851964
Claesson_elderly_gut_study_486.txt	EM142.441711	13325	12525	0.939962476548
Claesson_elderly_gut_study_486.txt	EM134.441735	13333	12822	0.961674041851
Claesson_elderly_gut_study_486.txt	EM057.441605	13356	12964	0.970649895178
Claesson_elderly_gut_study_486.txt	EM102.441633	13368	12559	0.939482345901
Claesson_elderly_gut_study_486.txt	EM111.441634	13478	12832	0.952070040065
Claesson_elderly_gut_study_486.txt	EM162.441728	13506	12383	0.916851769584
Claesson_elderly_gut_study_486.txt	EM090.T3.441662	13573	13127	0.967140646872
Claesson_elderly_gut_study_486.txt	EM140.441608	13699	13190	0.962844003212
Claesson_elderly_gut_study_486.txt	EM136.441650	13714	13205	0.96288464343
Claesson_elderly_gut_study_486.txt	EM087.441726	13893	12438	0.895270999784
Claesson_elderly_gut_study_486.txt	EM149.441655	13901	13222	0.951154593195
Claesson_elderly_gut_study_486.txt	EM158.441731	13915	12725	0.914480776141
Claesson_elderly_gut_study_486.txt	EM076.441622	13944	12940	0.927997705106
Claesson_elderly_gut_study_486.txt	EM098.441733	14064	13456	0.956769055745
Claesson_elderly_gut_study_486.txt	EM067.441615	14093	11123	0.789257077982
Claesson_elderly_gut_study_486.txt	EM086.T3.441746	14162	13092	0.92444569976
Claesson_elderly_gut_study_486.txt	EM110.441723	14187	13734	0.968069359273
Claesson_elderly_gut_study_486.txt	EM222.441725	14275	12645	0.885814360771
Claesson_elderly_gut_study_486.txt	EM098.T3.441740	14322	13920	0.971931294512
Claesson_elderly_gut_study_486.txt	EM059.T3.441604	14330	13062	0.911514305652
Claesson_elderly_gut_study_486.txt	EMC05.441628	14403	12984	0.901478858571
Claesson_elderly_gut_study_486.txt	EM056.T3.441716	14472	13826	0.955362078496
Claesson_elderly_gut_study_486.txt	EM073.T3.441721	14479	13796	0.952828233994
Claesson_elderly_gut_study_486.txt	EM035.441593	14487	14143	0.976254573066
Claesson_elderly_gut_study_486.txt	EM060.441677	14560	13454	0.924038461538
Claesson_elderly_gut_study_486.txt	EM139.441611	14578	13286	0.911373302236
Claesson_elderly_gut_study_486.txt	EM080.441727	14584	13451	0.922312122874
Claesson_elderly_gut_study_486.txt	EM209.441665	14642	13997	0.955948640896
Claesson_elderly_gut_study_486.txt	EM094.441640	14774	13713	0.928184648707
Claesson_elderly_gut_study_486.txt	EM125.441659	14795	13935	0.94187225414
Claesson_elderly_gut_study_486.txt	EMC09.441635	14812	14033	0.947407507426
Claesson_elderly_gut_study_486.txt	EM066.T3.441647	14859	13878	0.93397940642
Claesson_elderly_gut_study_486.txt	EM094.T3.441588	14957	14287	0.955204920773
